parent_id,parent_name,min_rake,max_rake,min_rake_style,max_rake_style,pref_style
111,Hartley Springs,-90,-90,normal,normal,normal
112,Hat Creek - McArthur - Mayfield,-90,-90,normal,normal,normal
113,Hector Mine,180,180,strike-slip,strike-slip,strike-slip
114,Helendale - Lockhart (south),103,180,reverse,strike-slip,strike-slip
115,Hilton Creek,-90,-90,normal,normal,normal
116,Hollywood,30,165,reverse oblique,strike-slip,reverse oblique
118,Holser [2],49,141,reverse oblique,reverse oblique,reverse
119,Homestead Valley,180,180,strike-slip,strike-slip,strike-slip
120,Honey Lake,180,180,strike-slip,strike-slip,strike-slip
121,Hosgri,87,180,reverse,strike-slip,strike-slip
122,Hosgri (extension),167,180,strike-slip,strike-slip,strike-slip
123,Hunter Mountain - Saline Valley,-150,-120,normal oblique,normal oblique,normal oblique
124,Hunting Creek - Bartlett Springs (connector),114,180,reverse oblique,strike-slip,strike-slip
125,Hunting Creek - Berryessa,101,180,reverse,strike-slip,strike-slip
126,Imperial,162,180,strike-slip,strike-slip,strike-slip
127,Independence,-140,-90,normal oblique,normal,normal
128,Jess Valley,-90,-90,normal,normal,normal
129,Johnson Valley (north),180,180,strike-slip,strike-slip,strike-slip
130,Joshua Tree (seismicity),180,180,strike-slip,strike-slip,strike-slip
131,Keddie Ridge,-135,-100,normal oblique,normal,normal oblique
132,Kern Canyon (Lake Isabella),-90,40,normal,reverse oblique,normal
133,Kern Canyon (north),-90,-62,normal,normal oblique,normal
134,Kern Canyon (south),-90,-25,normal,normal oblique,normal
135,Kickapoo,180,180,strike-slip,strike-slip,strike-slip
136,King Range,90,178,reverse,strike-slip,reverse oblique
137,La Panza,135,178,reverse oblique,strike-slip,reverse oblique
138,Laguna Salada,-127,180,normal oblique,strike-slip,strike-slip
139,Lake Isabella (seismicity),-85,0,normal,strike-slip,normal oblique
140,Las Positas,45,45,reverse oblique,reverse oblique,reverse oblique
141,Last Chance,-90,-49,normal,normal oblique,normal oblique
142,Lenwood - Lockhart - Old Woman Springs,156,180,reverse oblique,strike-slip,strike-slip
143,Likely,180,180,strike-slip,strike-slip,strike-slip
144,Lions Head,65,179,reverse oblique,strike-slip,strike-slip
145,Little Lake,-156,180,normal oblique,strike-slip,normal oblique
146,Little Salmon (offshore),90,90,reverse,reverse,reverse
147,Little Salmon (onshore),90,90,reverse,reverse,reverse
148,Los Alamos,38,163,reverse oblique,strike-slip,reverse oblique
149,Los Alamos (extension),23,149,reverse oblique,reverse oblique,reverse oblique
150,Los Medanos - Roe Island,90,172,reverse,strike-slip,reverse oblique
151,Los Osos,56,178,reverse oblique,strike-slip,reverse oblique
152,Lost Hills,90,90,reverse,reverse,reverse
153,Ludlow,180,180,strike-slip,strike-slip,strike-slip
154,"Lytle Creek (San Jacinto, connector)",0,180,strike-slip,strike-slip,strike-slip
155,Maacama,178,180,strike-slip,strike-slip,strike-slip
156,Mad River - Trinidad [2],90,173,reverse,strike-slip,reverse oblique
159,Malibu Coast (extension) [2],30,148,reverse oblique,reverse oblique,reverse oblique
161,Malibu Coast [2],30,158,reverse oblique,reverse oblique,reverse oblique
162,Manix - Afton Hills,0,180,strike-slip,strike-slip,strike-slip
164,McLean Lake,0,0,strike-slip,strike-slip,strike-slip
165,Mendocino,100,180,reverse,strike-slip,strike-slip
166,"Mill Creek (San Andreas, north branch)",0,180,strike-slip,strike-slip,strike-slip
167,Mission (connected),161,180,strike-slip,strike-slip,strike-slip
168,Mission Creek,0,180,strike-slip,strike-slip,reverse oblique
169,Mission Hills,70,146,reverse,reverse oblique,reverse
170,Mission Ridge - Arroyo Parida - Santa Ana,36,125,reverse oblique,reverse oblique,reverse
171,Mohawk Valley,180,180,strike-slip,strike-slip,strike-slip
172,Mono Lake,-90,-90,normal,normal,normal
173,Monte Vista - Shannon,90,179,reverse,strike-slip,reverse oblique
174,Monterey Bay - Tularcitos,150,179,reverse oblique,strike-slip,strike-slip
175,Morales (east),90,179,reverse,strike-slip,reverse oblique
176,Morales (west),90,179,reverse,strike-slip,reverse oblique
179,Mount Diablo [2],90,178,reverse,strike-slip,reverse oblique
180,Nelson Lake,0,0,strike-slip,strike-slip,strike-slip
181,Newport - Inglewood (offshore),83,180,reverse,strike-slip,strike-slip
183,Newport - Inglewood [2],64,180,reverse oblique,strike-slip,strike-slip
184,North Channel [2],36,92,reverse oblique,reverse,reverse
185,North Frontal (east),78,165,reverse,strike-slip,reverse oblique
186,North Frontal (west),57,90,reverse oblique,reverse,reverse
187,North Salt Lake,32,90,reverse oblique,reverse,reverse oblique
188,North Tahoe,-90,-90,normal,normal,normal
189,Northridge,47,143,reverse oblique,reverse oblique,reverse
190,Northridge Hills,63,145,reverse oblique,reverse oblique,reverse
191,Oak Ridge (offshore) [2],66,90,reverse oblique,reverse,reverse
192,"Oak Ridge (offshore, extension) [2]",77,90,reverse,reverse,reverse
193,Oak Ridge (onshore),56,138,reverse oblique,reverse oblique,reverse
194,Oceanic - West Huasna,56,180,reverse oblique,strike-slip,reverse oblique
196,Oceanside [2],90,164,reverse,strike-slip,reverse
197,Ortigalita (north),112,180,reverse oblique,strike-slip,strike-slip
198,Ortigalita (south),122,180,reverse oblique,strike-slip,strike-slip
199,Owens Valley,-173,180,strike-slip,strike-slip,normal oblique
200,Owens Valley (Keough Hot Springs),-173,-90,strike-slip,normal,normal oblique
201,Owl Lake,0,180,strike-slip,strike-slip,strike-slip
202,Ozena,90,157,reverse,reverse oblique,reverse
203,Palos Verdes,61,180,reverse oblique,strike-slip,strike-slip
204,Panamint Valley,-150,-2,normal oblique,strike-slip,normal oblique
205,Paradise,180,180,strike-slip,strike-slip,strike-slip
206,Peralta Hills,57,173,reverse oblique,strike-slip,reverse
207,Pilarcitos,96,180,reverse,strike-slip,strike-slip
208,Pine Mountain,15,158,strike-slip,reverse oblique,reverse
209,Pinto Mountain,0,180,strike-slip,strike-slip,strike-slip
210,Pisgah - Bullion Mountain - Mesquite Lake,0,180,strike-slip,strike-slip,strike-slip
213,Pitas Point (upper) [2],61,90,reverse oblique,reverse,reverse
214,Pittville,-90,-90,normal,normal,normal
215,Pleito,90,178,reverse,strike-slip,reverse oblique
216,Point Reyes,90,177,reverse,strike-slip,reverse oblique
217,Point Reyes (connector),90,179,reverse,strike-slip,reverse oblique
218,Polaris,-146,180,normal oblique,strike-slip,normal oblique
219,Puente Hills (Coyote Hills) [2],51,168,reverse oblique,strike-slip,reverse oblique
220,Puente Hills (Los Angeles) [2],43,162,reverse oblique,strike-slip,reverse oblique
221,Puente Hills (Santa Fe Springs) [2],45,170,reverse oblique,strike-slip,reverse oblique
223,Quien Sabe,180,180,strike-slip,strike-slip,strike-slip
224,Raymond,33,159,reverse oblique,reverse oblique,reverse oblique
225,Red Mountain,16,113,strike-slip,reverse oblique,reverse
226,Red Pass,180,180,strike-slip,strike-slip,strike-slip
228,Redondo Canyon [2],58,177,reverse oblique,strike-slip,strike-slip
229,Reliz,137,180,reverse oblique,strike-slip,reverse oblique
230,Richfield,50,170,reverse oblique,strike-slip,reverse
231,Rinconada,85,180,reverse,strike-slip,strike-slip
232,Robinson Creek,-90,-90,normal,normal,normal
233,Rocky Ledge,-90,-90,normal,normal,normal
234,Rose Canyon,92,180,reverse,strike-slip,strike-slip
235,Round Valley,-90,-90,normal,normal,normal
236,Russ,135,135,reverse oblique,reverse oblique,reverse oblique
237,San Cayetano,18,135,strike-slip,reverse oblique,reverse
238,San Clemente,180,180,strike-slip,strike-slip,strike-slip
240,San Diego Trough (north) [2],92,180,reverse,strike-slip,strike-slip
241,San Diego Trough (south),150,180,reverse oblique,strike-slip,strike-slip
242,San Gabriel,70,180,reverse,strike-slip,reverse
243,San Gabriel (extension),45,180,reverse oblique,strike-slip,reverse
244,San Gorgonio Pass,90,178,reverse,strike-slip,reverse oblique
245,San Gregorio (north),98,180,reverse,strike-slip,strike-slip
246,San Gregorio (south),124,180,reverse oblique,strike-slip,strike-slip
247,San Joaquin Hills,90,154,reverse,reverse oblique,reverse
248,San Jose,30,169,reverse oblique,strike-slip,reverse oblique
249,San Juan,110,180,reverse oblique,strike-slip,strike-slip
250,San Luis Bay [2],60,179,reverse oblique,strike-slip,strike-slip
252,San Luis Range (Pecho),90,179,reverse,strike-slip,strike-slip
253,San Luis Range (extended) [2],19,178,strike-slip,strike-slip,reverse oblique
255,San Pedro Basin,42,180,reverse oblique,strike-slip,reverse oblique
256,San Pedro Escarpment,63,154,reverse oblique,reverse oblique,reverse oblique
257,San Vicente,34,166,reverse oblique,strike-slip,reverse oblique
259,Santa Cruz - Catalina Ridge [2],36,135,reverse oblique,reverse oblique,reverse
260,Santa Cruz Island,30,129,reverse oblique,reverse oblique,reverse oblique
261,Santa Monica Bay,54,165,reverse oblique,strike-slip,reverse
263,Santa Monica [2],30,165,reverse oblique,strike-slip,reverse oblique
264,Santa Rosa Island,30,110,reverse oblique,reverse oblique,reverse oblique
265,"Santa Susana (east, connector)",64,145,reverse oblique,reverse oblique,reverse
267,Santa Susana [2],60,158,reverse oblique,reverse oblique,reverse
268,Santa Ynez (east),0,151,strike-slip,reverse oblique,reverse oblique
269,Santa Ynez (west),0,160,strike-slip,strike-slip,reverse oblique
270,Santa Ynez River,5,80,strike-slip,reverse,reverse oblique
271,Sargent,111,180,reverse oblique,strike-slip,strike-slip
272,Scodie Lineament (seismicity),0,59,strike-slip,reverse oblique,reverse oblique
273,Sheephole,180,180,strike-slip,strike-slip,strike-slip
274,Shoreline,61,180,reverse oblique,strike-slip,strike-slip
275,Sierra Madre,40,168,reverse oblique,strike-slip,reverse
276,Sierra Madre (San Fernando),68,155,reverse oblique,reverse oblique,reverse
277,Sierra Nevada (north),-168,-90,strike-slip,normal,normal
278,Sierra Nevada (south),-157,-90,normal oblique,normal,normal
279,Silver Creek,161,180,strike-slip,strike-slip,strike-slip
280,Simi - Santa Rosa,30,142,reverse oblique,reverse oblique,reverse
281,Sisar,64,115,reverse oblique,reverse oblique,reverse
282,Skinner Flat,-135,-135,normal oblique,normal oblique,normal oblique
283,Superstition Hills,145,180,reverse oblique,strike-slip,strike-slip
284,Surprise Valley,-90,-90,normal,normal,normal
285,Swain Ravine - Spenceville,-90,-90,normal,normal,normal
286,Table Bluff,90,90,reverse,reverse,reverse
287,Tank Canyon,-143,-90,normal oblique,normal,normal oblique
288,Thirty Mile Bank,90,165,reverse,strike-slip,reverse
289,Tin Mountain,-154,-90,normal oblique,normal,normal oblique
290,Towne Pass,-140,-90,normal oblique,normal,normal oblique
292,Ventura - Pitas Point,57,118,reverse oblique,reverse oblique,reverse
293,Verdugo,37,153,reverse oblique,reverse oblique,reverse
294,Walker Spring,-123,-90,normal oblique,normal,normal
295,West Napa,154,180,reverse oblique,strike-slip,strike-slip
296,West Tahoe,-146,-90,normal oblique,normal,normal
297,White Mountains,-173,180,strike-slip,strike-slip,strike-slip
298,White Wolf,-87,60,normal,reverse oblique,reverse oblique
299,White Wolf (extension),42,60,reverse oblique,reverse oblique,reverse oblique
301,Whittier [2],46,178,reverse oblique,strike-slip,reverse oblique
302,Wight Way,-90,-90,normal,normal,normal
303,Yorba Linda,56,175,reverse oblique,strike-slip,reverse
305,Zayante - Vergeles [2],108,180,reverse,strike-slip,strike-slip
700,San Andreas (Coachella),0,180,strike-slip,strike-slip,strike-slip
701,San Andreas (San Gorgonio Pass - Garnet Hill),0,180,strike-slip,strike-slip,reverse oblique
702,"San Andreas (San Bernardino, south)",0,180,strike-slip,strike-slip,strike-slip
703,"San Andreas (San Bernardino, north)",0,180,strike-slip,strike-slip,strike-slip
704,"San Andreas (Mojave, south)",0,180,strike-slip,strike-slip,strike-slip
705,"San Andreas (Mojave, north)",0,180,strike-slip,strike-slip,strike-slip
706,San Andreas (Big Bend),88,180,reverse,strike-slip,strike-slip
707,San Andreas (Carrizo),118,180,reverse oblique,strike-slip,strike-slip
708,San Andreas (Cholame),131,180,reverse oblique,strike-slip,strike-slip
709,San Andreas (Parkfield),135,180,reverse oblique,strike-slip,strike-slip
710,San Andreas (Creeping),127,180,reverse oblique,strike-slip,strike-slip
711,San Andreas (Santa Cruz Mountains),117,180,reverse oblique,strike-slip,strike-slip
712,San Andreas (Peninsula),100,180,reverse,strike-slip,strike-slip
713,San Andreas (North Coast),115,180,reverse oblique,strike-slip,strike-slip
714,San Andreas (Offshore),110,180,reverse oblique,strike-slip,strike-slip
800,San Jacinto (Superstition Mountain),136,180,reverse oblique,strike-slip,strike-slip
801,San Jacinto (Borrego),129,180,reverse oblique,strike-slip,strike-slip
802,San Jacinto (Coyote Creek),123,180,reverse oblique,strike-slip,strike-slip
803,San Jacinto (Clark),122,180,reverse oblique,strike-slip,strike-slip
804,San Jacinto (Anza),112,180,reverse oblique,strike-slip,strike-slip
805,San Jacinto (stepover),0,180,strike-slip,strike-slip,strike-slip
806,San Jacinto (San Jacinto Valley),0,180,strike-slip,strike-slip,strike-slip
807,San Jacinto (San Bernardino),0,180,strike-slip,strike-slip,strike-slip
840,Elsinore (Coyote Mountains),121,180,reverse oblique,strike-slip,strike-slip
841,Elsinore (Julian),101,180,reverse,strike-slip,reverse oblique
842,Elsinore (Temecula),78,180,reverse,strike-slip,reverse oblique
843,Elsinore (stepover),72,180,reverse,strike-slip,reverse oblique
844,Elsinore (Glen Ivy),63,180,reverse oblique,strike-slip,reverse oblique
880,Garlock (west),-3,180,strike-slip,strike-slip,strike-slip
881,Garlock (center),-148,180,normal oblique,strike-slip,strike-slip
882,Garlock (east),0,180,strike-slip,strike-slip,strike-slip
900,"Hayward (south, extension)",135,180,reverse oblique,strike-slip,reverse oblique
901,Hayward (south),165,180,strike-slip,strike-slip,strike-slip
902,Hayward (north),171,180,strike-slip,strike-slip,strike-slip
903,Rodgers Creek - Healdsburg,176,180,strike-slip,strike-slip,strike-slip
920,"Calaveras (south, Paicines)",152,180,reverse oblique,strike-slip,strike-slip
921,Calaveras (south),165,180,strike-slip,strike-slip,strike-slip
922,Calaveras (center),159,180,reverse oblique,strike-slip,strike-slip
923,Calaveras (north),168,180,strike-slip,strike-slip,strike-slip
1000,Antelope Valley,-90,-90,normal,normal,normal
1002,Incline Village,-90,-90,normal,normal,normal
2500,Goose Lake,-90,-90,normal,normal,normal
2502,South Klamath Lake (west),-90,-90,normal,normal,normal
